material,material_E_GPa,material_yield_MPa,panel_width_m,sigma_max_MPa,sigma_min_MPa,delta_sigma_MPa,stress_ratio_R,load_cycles_N,beta_ratio,crack_length_m,crack_length_mm,crack_area_m2,initial_crack_m,crack_growth_from_initial,K_max_MPa_sqrtm,K_min_MPa_sqrtm,delta_K_MPa_sqrtm,geometry_factor_alpha,SIF_normalized,K_murakami,da_dN_current,paris_C,paris_m,crack_growth_index,tofd_depth_m,tofd_depth_mm,ut_amplitude,tofd_t1_us,tofd_tL_us,crack_present,crack_stage,crack_length_label,RUL_cycles
titanium_6al4v,114.0,950.0,0.2449227500681923,408.44434408710475,54.13752329769376,354.306820789411,0.1325456554397737,138337,7.544570183625381,0.0031858257107591917,3.185825710759192,3.1885548956761095e-05,0.0031858257107591917,0.0,57.79728248742628,7.660778689933671,50.13650379749261,1.414453223998301,1.0508596815895688,2.5713157947690597,1.3786783339559636e-06,5e-12,3.2,0.19072222468446615,0.01563506650569992,15.63506650569992,0.10255565055953811,2.018345309050799,1.0,1,4,3.185825710759192,77631.89511567821
titanium_6al4v,114.0,950.0,0.2581106602001054,59.263022433111104,28.82905631870284,30.433966114408264,0.48645943347289744,6311,2.0556698692445314,0.0014565034316693438,1.4565034316693437,6.664581712801991e-06,0.001455525998052243,9.77433617100872e-07,5.669481209769108,2.7579726173895174,2.9115085923795907,1.4142586085049904,0.10308147654125652,0.17056732057140156,1.5280861798405602e-10,5e-12,3.2,9.643751880973775e-07,0.015425549872039682,15.425549872039682,0.0011821214919465924,1.4854680325595255,1.0,1,1,1.4565034316693437,750568228.2287583
titanium_6al4v,114.0,950.0,0.14159046082342291,112.77223729341883,20.464224397548172,92.30801289587066,0.1814650918408482,85654,5.510701754566869,0.004250410037491693,4.250410037491694,5.6755967285222556e-05,0.002552314928976662,0.0016980951085150313,18.445994862842678,3.34730415188156,15.098690710961119,1.4154989001306602,0.3353817247789578,0.9471822331721426,2.961936399381999e-08,5e-12,3.2,0.0025370170035266576,0.02308179804372209,23.081798043722088,0.13785373519050548,2.385625099289035,1.0,1,2,4.250410037491694,2007649.365646606
aluminum_2024,73.0,345.0,0.06626289824631988,166.34483913912544,21.081855522802552,145.26298361632288,0.1267358556592812,175073,7.890426863005658,0.00668621820469947,6.68621820469947,0.00014044651398304934,0.00476998491764,0.0019162332870594698,34.476324462598654,4.369386480754448,30.106937981844204,1.4300341826428642,1.044737104927232,2.197811265847844,6.989330961362807e-06,3.6e-10,2.9,1.2236431393986706,0.025282393081963717,25.28239308196372,0.4962315221976238,3.051849796027471,1.0,1,4,6.68621820469947,3309.628079428377
titanium_6al4v,114.0,950.0,0.09334116337694302,324.4984960021794,137.89164788088326,186.60684812129617,0.424937710281274,199193,2.353286083595833,0.004582471977613576,4.582471977613577,6.59704594078769e-05,0.0022597727340795837,0.0023226992435339926,55.1978333436356,23.45564091353187,31.74219243010373,1.4177005157398346,1.0035969698842837,2.938414268921306,3.1930678627117056e-07,5e-12,3.2,0.06360367667771327,0.02461552576602398,24.61552576602398,0.25605716783074145,2.517886144458626,1.0,1,4,4.582471977613577,117194.66403771026
steel_4340,210.0,1170.0,0.1624385333424414,64.09098160500136,27.496835177883415,36.59414642711795,0.42902814856774935,100299,2.330849393771389,0.0023792481525915237,2.3792481525915234,1.7783996090971695e-05,0.002278176062008165,0.00010107209058335875,7.837906524858592,3.3626825250071644,4.475223999851428,1.4145175815390871,0.13063177541430987,0.3013263993672126,1.0411799877293014e-09,1e-11,3.1,0.0001044293115892612,0.017342431005677457,17.342431005677458,0.04353308497733671,1.8311485846072484,1.0,1,1,2.3792481525915234,67921101.71627046
aluminum_2024,73.0,345.0,0.13918833167339734,101.96333958470106,43.12354681174192,58.83979277295914,0.4229318791183682,140643,2.3644469697686814,0.016211213470445594,16.211213470445593,0.000825621363304485,0.0017642052935932136,0.01444700817685238,33.04172241923674,13.97439775207531,19.06732466716143,1.4359387926155738,1.0012643157344467,3.26633025893767,1.858415458162901e-06,3.6e-10,2.9,0.26137312528240486,0.040875393690306204,40.875393690306204,0.3975394124845949,6.018772257694263,1.0,1,4,16.211213470445593,24980.170918549215
titanium_6al4v,114.0,950.0,0.23225179201024682,416.95764280467534,153.4761894906781,263.48145331399724,0.3680858047314277,39660,2.716757851419035,0.003970716560086756,3.9707165600867556,4.953220331788137e-05,0.003970716560086756,0.0,65.87848333299439,24.248934552111184,41.62954878088321,1.4146280767365786,1.1977906060544434,3.2716086222320633,7.604233707676473e-07,5e-12,3.2,0.030158390884644892,0.02494552884125264,24.94552884125264,0.0627870188398835,2.3028176203612136,1.0,1,4,3.9707165600867556,132219.2264330679
titanium_6al4v,114.0,950.0,0.232401544584516,189.94204477204798,37.29179553878986,152.6502492332581,0.1963324949120362,25538,5.093400358651963,0.00947333863888578,9.47333863888578,0.00028193954653104436,0.0033690086210984593,0.006104330017787322,46.41891775723796,9.113541934395151,37.30537582284281,1.4166006424490156,0.843980322858872,3.555696540710198,5.353509119658515e-07,5e-12,3.2,0.013671791589783915,0.03439218851871366,34.39218851871366,0.202261625859284,4.088998113832367,1.0,1,3,9.47333863888578,177654.23444391755
steel_4340,210.0,1170.0,0.15688525458963742,272.20801836397584,77.6418313471389,194.56618701683692,0.28522977322189735,182708,3.505945360136159,0.00773124226877282,7.73124226877282,0.00018777961229877527,0.0006143860703484283,0.007116856198424392,60.14413373254914,17.15489762516246,42.98923610738669,1.417727561490395,1.002402228875819,4.15863414216144,1.1572179377315718e-06,1e-11,3.1,0.21143297496706004,0.02635621341277908,26.35621341277908,0.14586384731642138,3.664982237580285,1.0,1,4,7.73124226877282,54326.08694244651
